organism	rename	category
Pyrobaculum islandicum	others_bacterium	others
Rhizobium leguminosarum	others_bacterium	others
Rhodococcus sp. AW25M09	others_bacterium	others
Rhodopirellula baltica SH 1	others_bacterium	others
Robertmurraya yapensis	others_bacterium	others
Ruminiclostridium papyrosolvens	others_bacterium	others
Runella slithyformis DSM 19594 (Runella slithyformis str. DSM 19594)	others_bacterium	others
Saccharomyces cerevisiae (baker's yeast)	others_bacterium	others
Schinkia azotoformans (Bacillus azotiformans)	others_bacterium	others
Shouchella clausii KSM-K16	others_bacterium	others
Sporosarcina newyorkensis	others_bacterium	others
Staphylococcus aureus	others_bacterium	others
Sulfurovum sp. NBC37-1	others_bacterium	others
Thermochaetoides thermophila	others_bacterium	others
Toxoplasma gondii	others_bacterium	others
Trichosporon asahii var. asahii CBS 2479	others_bacterium	others
Bacteroides Fragilis	others_bacterium	others
Enterocloster Asparagiformis	others_bacterium	others
Saccharomyces Cerevisiae	others_bacterium	others
PseudomonasAeruginosa	others_bacterium	others
PseudomonasFluorescens	others_bacterium	others
StreptomycesKanamyceticus	others_bacterium	others
Carcinoma of uterine tube	others_cancers	others
Bile duct cancer	others_cancers	others
Bladder cancer	others_cancers	others
Endometrial cancer	others_cancers	others
Arabidopsis thaliana (mouse-ear cress)	others_plant	others
Selaginella moellendorffii	others_plant	others
Volvox carteri f. nagariensis	others_plant	others
Selaginella Moellendorffii	others_plant	others
CryptomeriaJaponica	others_plant	others
Bat mastadenovirus G	others_virus	others
Murine polyomavirus strain A2 (Mouse polyomavirus (strain A2))	others_virus	others
Paslahepevirus balayani	others_virus	others
Sendai virus (strain Enders)	others_virus	others
Human papilloma virus	others_virus	others
Murine leukemia virus (MuLV)	others_virus	others
Epithelial ovarian cancer	Ovarian cancer	Ovarian cancer
Ovarian cancer	Ovarian cancer	Ovarian cancer
Pancreatic cancer	Pancreatic cancer	Pancreatic cancer
Parkinson disease	Parkinson disease	Parkinson disease
Plasmodium berghei ANKA	Plasmodium	Plasmodium
Plasmodium falciparum NF54	Plasmodium	Plasmodium
Plasmodium berghei	Plasmodium	Plasmodium
PlasmodiumBerghei	Plasmodium	Plasmodium
PlasmodiumFalciparum	Plasmodium	Plasmodium
Pseudomonas Fluorescens	Pseudomonas Fluorescens	Pseudomonas Fluorescens
Psoriatic arthritis	Psoriatic arthritis	Psoriatic arthritis
Psoriatic Arthritis	Psoriatic arthritis	Psoriatic arthritis
Human respiratory syncytial virus A2 (Human respiratory syncytial virus (strain A2))	Respiratory syncytial virus	Respiratory syncytial virus
RSV	Respiratory syncytial virus	Respiratory syncytial virus
Rheumatoid Arthritis (RA)	Rheumatoid Arthritis	Rheumatoid Arthritis
Human rotavirus strain WA (Human rotavirus (SEROTYPE 1 / STRAIN WA))	Rota virus	Rota virus
RotavirusA	Rota virus	Rota virus
Salmonella enterica subsp. enterica serovar Indiana	Salmonella enterica	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi	Salmonella enterica	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi str. 404ty (Salmonella enterica subsp. enterica serovar Typhi 404ty)	Salmonella enterica	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	Salmonella enterica
Salmonella enterica subsp. houtenae	Salmonella enterica	Salmonella enterica
Salmonella enterica subsp. salamae	Salmonella enterica	Salmonella enterica
SARS-CoV2	SARS-CoV2	coronavirus
Severe acute respiratory syndrome coronavirus 2 USA-WA1/2020	SARS-CoV2	coronavirus
Severe acute respiratory syndrome coronavirus 2 Wuhan/Hu-1/2019	SARS-CoV2	coronavirus
COVID-19	SARS-CoV2	coronavirus
SARS-CoV-2	SARS-CoV2	coronavirus
Simian immunodeficiency virus (Chimpanzee immunodeficiency virus)	Simian immunodeficiency virus	Simian immunodeficiency virus
SIV	Simian immunodeficiency virus	Simian immunodeficiency virus
synthetic	synthetic	synthetic
Synthetic	synthetic	synthetic
Systemic Lupus Erythematosus (SLE)	Systemic Lupus Erythematosus	Systemic Lupus Erythematosus
Tick-borne encephalitis	Tick-borne encephalitis	Tick-borne encephalitis
Toxic epidermal necrolysis	Toxic epidermal necrolysis	Toxic epidermal necrolysis
Triticum aestivum (Canadian hard winter wheat)	Triticum aestivum	Triticum aestivum
Triticum Aestivum	Triticum aestivum	Triticum aestivum
TriticumAestivum	Triticum aestivum	Triticum aestivum
Wheat	Triticum aestivum	Triticum aestivum
Trypanosoma cruzi	Trypanosoma cruzi	Trypanosoma cruzi
Tumor	Tumor	Tumor
Tumor associated antigen (TAA)	Tumor associated antigen	Tumor associated antigen
Vesicular stomatitis virus (vesicular stomatitis virus VSV)	Vesicular stomatitis virus	Vesicular stomatitis virus
Vesicular stomatitis virus	Vesicular stomatitis virus	Vesicular stomatitis virus
VSV	Vesicular stomatitis virus	Vesicular stomatitis virus
West Nile virus	West Nile virus	West Nile virus
Yellow fever virus 17D (Yellow fever virus (STRAIN 17D))	Yellow fever virus	Yellow fever virus
Yellow fever virus	Yellow fever virus	Yellow fever virus
YFV	Yellow fever virus	Yellow fever virus
