organism	rename
LCMV	Lymphocytic choriomeningitis virus
Lymphoma	Lymphoma
Mammarenavirus choriomeningitidis (Lymphocytic choriomeningitis mammarenavirus)	Mammarenavirus choriomeningitidis
Manduca sexta (Carolina sphinx)	Manduca sexta
ManducaSexta	Manduca sexta
mCMV	MCMV
MCMV	MCMV
Melanoma	Melanoma
Merkel cell carcinoma	Merkel cell carcinoma
Merkel cell polyomavirus (MCPyV isolate R17b)	Merkel cell polyomavirus
MCPyV	Merkel cell polyomavirus
Multiple sclerosis (MS)	Multiple sclerosis
Murid betaherpesvirus 1 (Mouse cytomegalovirus 1)	Murid herpesvirus
Murid herpesvirus 1 deltaMS94.5	Murid herpesvirus
AKR (endogenous) murine leukemia virus (AKR murine leukemia virus)	murine leukemia virus
Friend murine leukemia virus (Friend murine leukemia virus F-MuLV)	murine leukemia virus
Murine leukemia virus (murine leukemia virus MLV)	murine leukemia virus
Mus musculus (mouse)	Mus musculus
MusMusculus	Mus musculus
Mycobacterium tuberculosis	Mycobacterium tuberculosis
Mycobacterium tuberculosis H37Rv (Mycobacterium tuberculosis str. H37Rv)	Mycobacterium tuberculosis
Mycobacterium tuberculosis variant bovis BCG	Mycobacterium tuberculosis
M. tuberculosis	Mycobacterium tuberculosis
M.Tuberculosis	Mycobacterium tuberculosis
M.tuberculosis	Mycobacterium tuberculosis
Mtb	Mycobacterium tuberculosis
Narcolepsy	Narcolepsy
Neoantigen	Neoantigen
Non-ST-elevation Myocardial Infarction (NSTEMI)	Non-ST-elevation Myocardial Infarction
Bos taurus (bovine)	others
Columba livia (carrier pigeon)	others
Oryctolagus cuniculus (rabbit)	others
Oryzias latipes (Japanese rice fish)	others
Rattus norvegicus (brown rat)	others
Sus scrofa (pig)	others
Tetronarce californica (Pacific electric ray)	others
Chronic stable effort angina	others
Myasthenia gravis	others
Oncoprotein	Oncoprotein
S. mansoni	others
Sarcoidosis	others
Ulcerative Colitis	others
Other	others
Acidiphilium cryptum (Acidiphilum cryptum)	others_bacterium
Acinetobacter baylyi	others_bacterium
Alkalihalobacillus trypoxylicola	others_bacterium
Anaerotignum propionicum	others_bacterium
Anoxybacillus flavithermus	others_bacterium
Aspergillus nidulans	others_bacterium
Bacillus [genus]	others_bacterium
Bacillus subtilis	others_bacterium
Bacteroides fragilis	others_bacterium
Bacteroides stercoris	others_bacterium
Bifidobacterium breve	others_bacterium
Blastococcus saxobsidens DD2 (Blastococcus saxobsidens str. DD2)	others_bacterium
Blastomyces dermatitidis	others_bacterium
Candida orthopsilosis	others_bacterium
Cavenderia fasciculata	others_bacterium
Chlamydia trachomatis	others_bacterium
Chlorobium chlorochromatii	others_bacterium
Desulfotignum phosphitoxidans DSM 13687	others_bacterium
Emiliania huxleyi CCMP1516	others_bacterium
Encephalitozoon romaleae SJ-2008	others_bacterium
Enterocloster asparagiformis	others_bacterium
Enterococcus saccharolyticus	others_bacterium
Eubacterium plexicaudatum ASF492	others_bacterium
Haemophilus influenzae	others_bacterium
Halalkalibacter hemicellulosilyticus	others_bacterium
Kitasatospora setae KM-6054 (Kitasatospora setae str. KM-6054)	others_bacterium
Legionella longbeachae NSW150 (Legionella longbeachae str. NSW150)	others_bacterium
Leishmania major	others_bacterium
Ligilactobacillus murinus ASF361	others_bacterium
Listeria monocytogenes	others_bacterium
Macrophomina phaseolina MS6 (Macrophomina phaseolina str. MS6)	others_bacterium
Mycobacterium avium	others_bacterium
Myxococcus stipitatus DSM 14675	others_bacterium
Ogataea parapolymorpha DL-1 (Hansenula polymorpha DL-1)	others_bacterium
Olsenella uli	others_bacterium
Priestia koreensis	others_bacterium
Pseudomonas aeruginosa	others_bacterium
Pseudomonas fluorescens	others_bacterium
Pyrobaculum islandicum	others_bacterium
Rhizobium leguminosarum	others_bacterium
Rhodococcus sp. AW25M09	others_bacterium
Rhodopirellula baltica SH 1	others_bacterium
Robertmurraya yapensis	others_bacterium
Ruminiclostridium papyrosolvens	others_bacterium
Runella slithyformis DSM 19594 (Runella slithyformis str. DSM 19594)	others_bacterium
Saccharomyces cerevisiae (baker's yeast)	others_bacterium
Schinkia azotoformans (Bacillus azotiformans)	others_bacterium
Shouchella clausii KSM-K16	others_bacterium
Sporosarcina newyorkensis	others_bacterium
Staphylococcus aureus	others_bacterium
Sulfurovum sp. NBC37-1	others_bacterium
Thermochaetoides thermophila	others_bacterium
Toxoplasma gondii	others_bacterium
Trichosporon asahii var. asahii CBS 2479	others_bacterium
Bacteroides Fragilis	others_bacterium
Enterocloster Asparagiformis	others_bacterium
Saccharomyces Cerevisiae	others_bacterium
PseudomonasAeruginosa	others_bacterium
PseudomonasFluorescens	others_bacterium
StreptomycesKanamyceticus	others_bacterium
Carcinoma of uterine tube	others_cancers
Bile duct cancer	others_cancers
Bladder cancer	others_cancers
Endometrial cancer	others_cancers
Arabidopsis thaliana (mouse-ear cress)	others_plant
Selaginella moellendorffii	others_plant
Volvox carteri f. nagariensis	others_plant
Selaginella Moellendorffii	others_plant
CryptomeriaJaponica	others_plant
Bat mastadenovirus G	others_virus
Murine polyomavirus strain A2 (Mouse polyomavirus (strain A2))	others_virus
Paslahepevirus balayani	others_virus
Sendai virus (strain Enders)	others_virus
Human papilloma virus	others_virus
Murine leukemia virus (MuLV)	others_virus
Epithelial ovarian cancer	Ovarian cancer
Ovarian cancer	Ovarian cancer
Pancreatic cancer	Pancreatic cancer
Parkinson disease	Parkinson disease
Plasmodium berghei ANKA	Plasmodium
Plasmodium falciparum NF54	Plasmodium
Plasmodium berghei	Plasmodium
PlasmodiumBerghei	Plasmodium
PlasmodiumFalciparum	Plasmodium
Pseudomonas Fluorescens	Pseudomonas Fluorescens
Psoriatic arthritis	Psoriatic arthritis
Psoriatic Arthritis	Psoriatic arthritis
Human respiratory syncytial virus A2 (Human respiratory syncytial virus (strain A2))	Respiratory syncytial virus
RSV	Respiratory syncytial virus
Rheumatoid Arthritis (RA)	Rheumatoid Arthritis
Human rotavirus strain WA (Human rotavirus (SEROTYPE 1 / STRAIN WA))	Rota virus
RotavirusA	Rota virus
Salmonella enterica subsp. enterica serovar Indiana	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhi str. 404ty (Salmonella enterica subsp. enterica serovar Typhi 404ty)	Salmonella enterica
Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica
Salmonella enterica subsp. houtenae	Salmonella enterica
Salmonella enterica subsp. salamae	Salmonella enterica
SARS-CoV2	SARS-CoV2
Severe acute respiratory syndrome coronavirus 2 USA-WA1/2020	SARS-CoV2
Severe acute respiratory syndrome coronavirus 2 Wuhan/Hu-1/2019	SARS-CoV2
COVID-19	SARS-CoV2
SARS-CoV-2	SARS-CoV2
Simian immunodeficiency virus (Chimpanzee immunodeficiency virus)	Simian immunodeficiency virus
SIV	Simian immunodeficiency virus
synthetic	synthetic
Synthetic	synthetic
Systemic Lupus Erythematosus (SLE)	Systemic Lupus Erythematosus
Tick-borne encephalitis	Tick-borne encephalitis
Toxic epidermal necrolysis	Toxic epidermal necrolysis
Triticum aestivum (Canadian hard winter wheat)	Triticum aestivum
Triticum Aestivum	Triticum aestivum
TriticumAestivum	Triticum aestivum
Wheat	Triticum aestivum
Trypanosoma cruzi	Trypanosoma cruzi
Tumor	Tumor
Tumor associated antigen (TAA)	Tumor associated antigen
Vesicular stomatitis virus (vesicular stomatitis virus VSV)	Vesicular stomatitis virus
Vesicular stomatitis virus	Vesicular stomatitis virus
VSV	Vesicular stomatitis virus
West Nile virus	West Nile virus
Yellow fever virus 17D (Yellow fever virus (STRAIN 17D))	Yellow fever virus
Yellow fever virus	Yellow fever virus
YFV	Yellow fever virus
